school,division,conference,state,gender
Bushnell University,NAIA,,Oregon,W
Butler,D1,Big East,Indiana,W
Butler University,D1,Big East Conference,Indiana,M
Cairn University,D3,,Pennsylvania,M
Cairn University,D3,,Pennsylvania,W
Cal Poly,D1,Big West,California,W
Cal State Bakersfield,D1,Big West,California,W
Cal State Fullerton,D1,Big West,California,W
Cal State Northridge,D1,Big West,California,W
Caldwell University,D2,Central Atlantic Collegiate Conference,New Jersey,M
Caldwell University,D2,Central Atlantic Collegiate Conference,New Jersey,W
California,D1,ACC,California,W
California Baptist,D1,Big West,California,W
California Baptist University,D1,Pac-12 Conference,California,M
California Institute of Technology,D3,,California,M
California Institute of Technology,D3,,California,W
California Lutheran University,D3,,California,M
California Lutheran University,D3,,California,W
"California Polytechnic State University, San Luis Obispo (Cal Poly)",D1,Pac-12 Conference,California,M
"California State Polytechnic University, Humboldt (Cal Poly Humboldt)",D2,California Collegiate Athletic Association,California,M
"California State Polytechnic University, Humboldt (Cal Poly Humboldt)",D2,California Collegiate Athletic Association,California,W
"California State Polytechnic University, Pomona (Cal Poly Pomona)",D2,California Collegiate Athletic Association,California,M
"California State Polytechnic University, Pomona (Cal Poly Pomona)",D2,California Collegiate Athletic Association,California,W
California State University Maritime Academy,NAIA,,California,M
California State University Maritime Academy,NAIA,,California,W
California State University San Marcos,D2,California Collegiate Athletic Association,California,W
"California State University, Bakersfield (Bakersfield/Cal State Bakersfield)",D1,Big West Conference,California,M
"California State University, Chico (Chico State)",D2,California Collegiate Athletic Association,California,M
"California State University, Chico (Chico State)",D2,California Collegiate Athletic Association,California,W
"California State University, Dominguez Hills",D2,California Collegiate Athletic Association,California,M
"California State University, Dominguez Hills",D2,California Collegiate Athletic Association,California,W
"California State University, East Bay",D2,California Collegiate Athletic Association,California,M
"California State University, East Bay",D2,California Collegiate Athletic Association,California,W
"California State University, Fullerton (Cal State Fullerton)",D1,Big West Conference,California,M
"California State University, Los Angeles",D2,California Collegiate Athletic Association,California,M
"California State University, Los Angeles",D2,California Collegiate Athletic Association,California,W
"California State University, Monterey Bay",D2,California Collegiate Athletic Association,California,M
"California State University, Monterey Bay",D2,California Collegiate Athletic Association,California,W
"California State University, Northridge (Cal State Northridge/CSUN)",D1,Big West Conference,California,M
"California State University, Sacramento (Sacramento State)",D1,Big West Conference,California,M
"California State University, San Bernardino",D2,California Collegiate Athletic Association,California,M
"California State University, San Bernardino",D2,California Collegiate Athletic Association,California,W
"California State University, San Marcos",D2,California Collegiate Athletic Association,California,M
"California State University, Stanislaus",D2,California Collegiate Athletic Association,California,M
"California State University, Stanislaus",D2,California Collegiate Athletic Association,California,W
Calumet College of St. Joseph,NAIA,,Indiana,M
Calumet College of St. Joseph,NAIA,,Indiana,W
Calvin University,D3,,Michigan,M
Calvin University,D3,,Michigan,W
Campbell,D1,CAA,North Carolina,W
Campbell University,D1,Coastal Athletic Association,North Carolina,M
Campbellsville University,NAIA,,Kentucky,M
Campbellsville University,NAIA,,Kentucky,W
Canisius,D1,Metro,New York,W
Canisius University,D1,Metro Conference,New York,M
Capital University,D3,,Ohio,M
Capital University,D3,,Ohio,W
Carleton College,D3,,Minnesota,M
Carleton College,D3,,Minnesota,W
Carlow University,D3,,Pennsylvania,M
Carlow University,D3,,Pennsylvania,W
Carnegie Mellon University,D3,,Pennsylvania,M
Carnegie Mellon University,D3,,Pennsylvania,W
Carroll College,NAIA,,Montana,M
Carroll College,NAIA,,Montana,W
Carroll University,D3,,Wisconsin,M
Carroll University,D3,,Wisconsin,W
Carson–Newman University,D2,South Atlantic Conference,Tennessee,M
Carson–Newman University,D2,South Atlantic Conference,Tennessee,W
Carthage College,D3,,Wisconsin,M
Carthage College,D3,,Wisconsin,W
Case Western Reserve University,D3,,Ohio,M
Case Western Reserve University,D3,,Ohio,W
Catawba College,D2,South Atlantic Conference,North Carolina,M
Catawba College,D2,South Atlantic Conference,North Carolina,W
Catholic University of America,D3,,District of Columbia,M
Catholic University of America,D3,,District of Columbia,W
Cedar Crest College,D3,,Pennsylvania,W
Cedarville University,D2,Great Midwest Athletic Conference,Ohio,M
Cedarville University,D2,Great Midwest Athletic Conference,Ohio,W
Centenary College of Louisiana,D3,,Louisiana,M
Centenary College of Louisiana,D3,,Louisiana,W
Centenary University – New Jersey,D3,,New Jersey,M
Centenary University – New Jersey,D3,,New Jersey,W
Central Arkansas,D1,UAC,Arkansas,W
Central Baptist College,NAIA,,Arkansas,M
Central Baptist College,NAIA,,Arkansas,W
Central Christian College of Kansas,NAIA,,Kansas,M
Central Christian College of Kansas,NAIA,,Kansas,W
Central College,D3,,Iowa,M
Central College,D3,,Iowa,W
Central Connecticut,D1,NEC,Connecticut,W
Central Connecticut State University,D1,NEC,Connecticut,M
Central Methodist University,NAIA,,Missouri,M
Central Methodist University,NAIA,,Missouri,W
Central Michigan,D1,MAC,Michigan,W
Central Washington University,D2,Great Northwest Athletic Conference,Washington,W
Centre College,D3,,Kentucky,M
Centre College,D3,,Kentucky,W
Chaminade University of Honolulu,D2,Pacific West Conference,Hawaii,M
Chaminade University of Honolulu,D2,Pacific West Conference,Hawaii,W
Chapman University,D3,,California,M
Chapman University,D3,,California,W
Charleston,D1,CAA,South Carolina,W
Charleston Southern,D1,Big South,South Carolina,W
Charlotte,D1,American,North Carolina,W
Chatham University,D3,,Pennsylvania,M
Chatham University,D3,,Pennsylvania,W
Chattanooga,D1,Southern,Tennessee,W
Chestnut Hill College,D2,Central Atlantic Collegiate Conference,Pennsylvania,M
Chestnut Hill College,D2,Central Atlantic Collegiate Conference,Pennsylvania,W
Chicago State,D1,NEC,Illinois,W
Chicago State University,D1,NEC,Illinois,M
Chowan University,D2,Conference Carolinas,North Carolina,M
Chowan University,D2,Conference Carolinas,North Carolina,W
Christian Brothers University,D2,Gulf South Conference,Tennessee,M
Christian Brothers University,D2,Gulf South Conference,Tennessee,W
Christopher Newport University,D3,,Virginia,M
Christopher Newport University,D3,,Virginia,W
Cincinnati,D1,Big 12,Ohio,W
Claremont-Mudd-Scripps Colleges,D3,,California,M
Claremont-Mudd-Scripps Colleges,D3,,California,W
Clark University,D3,,Massachusetts,M
Clark University,D3,,Massachusetts,W
Clarke University,NAIA,,Iowa,M
Clarke University,NAIA,,Iowa,W
Clarks Summit University,D3,,Pennsylvania,M
Clarks Summit University,D3,,Pennsylvania,W
Clarkson University,D3,,New York,M
Clarkson University,D3,,New York,W
Clayton State University,D2,Peach Belt Conference,Georgia,M
Clayton State University,D2,Peach Belt Conference,Georgia,W
Cleary University,NAIA,,Michigan,M
Cleary University,NAIA,,Michigan,W
Clemson,D1,ACC,South Carolina,W
Clemson University,D1,Atlantic Coast Conference,South Carolina,M
Cleveland State,D1,Horizon,Ohio,W
Cleveland State University,D1,Horizon League,Ohio,M
Coastal Carolina,D1,Sun Belt,South Carolina,W
Coastal Carolina University,D1,Sun Belt Conference,South Carolina,M
Coe College,D3,,Iowa,M
Coe College,D3,,Iowa,W
Coker University,D2,South Atlantic Conference,South Carolina,M
Coker University,D2,South Atlantic Conference,South Carolina,W
Colby College,D3,,Maine,M
Colby College,D3,,Maine,W
Colby-Sawyer College,D3,,New Hampshire,M
Colby-Sawyer College,D3,,New Hampshire,W
Colgate,D1,Patriot,New York,W
Colgate University,D1,Patriot League,New York,M
College of Charleston (Charleston),D1,Coastal Athletic Association,South Carolina,M
College of Saint Benedict,D3,,Minnesota,W
College of Saint Mary,NAIA,,Nebraska,W
College of Staten Island,D2,East Coast Conference,New York,M
College of Staten Island,D2,East Coast Conference,New York,W
College of William & Mary (William & Mary),D1,Coastal Athletic Association,Virginia,M
College of Wooster,D3,,Ohio,M
College of Wooster,D3,,Ohio,W
College of the Holy Cross,D1,Patriot League,Massachusetts,M
Colorado,D1,Big 12,Colorado,W
Colorado Christian University,D2,Rocky Mountain Athletic Conference,Colorado,M
Colorado Christian University,D2,Rocky Mountain Athletic Conference,Colorado,W
Colorado College,D3,,Colorado,M
Colorado College,D1,Mountain West,Colorado,W
Colorado College,D3,,Colorado,W
Colorado Mesa University,D2,Rocky Mountain Athletic Conference,Colorado,M
Colorado Mesa University,D2,Rocky Mountain Athletic Conference,Colorado,W
Colorado School of Mines,D2,Rocky Mountain Athletic Conference,Colorado,M
Colorado School of Mines,D2,Rocky Mountain Athletic Conference,Colorado,W
Colorado State,D1,Pac-12,Colorado,W
Colorado State University–Pueblo,D2,Rocky Mountain Athletic Conference,Colorado,M
Colorado State University–Pueblo,D2,Rocky Mountain Athletic Conference,Colorado,W
Columbia,D1,Ivy League,New York,W
Columbia College – Missouri,NAIA,,Missouri,M
Columbia College – Missouri,NAIA,,Missouri,W
Columbia College – South Carolina,NAIA,,South Carolina,M
Columbia College – South Carolina,NAIA,,South Carolina,W
Columbia University,D1,Ivy League,New York,M
Columbus State University,D2,Peach Belt Conference,Georgia,W
Commonwealth University-Bloomsburg,D2,Pennsylvania State Athletic Conference,Pennsylvania,M
Commonwealth University-Bloomsburg,D2,Pennsylvania State Athletic Conference,Pennsylvania,W
Commonwealth University-Lock Haven,D2,Pennsylvania State Athletic Conference,Pennsylvania,M
Commonwealth University-Lock Haven,D2,Pennsylvania State Athletic Conference,Pennsylvania,W
Commonwealth University-Mansfield,D2,Pennsylvania State Athletic Conference,Pennsylvania,W
Concord University,D2,Mountain East Conference,West Virginia,M
Concord University,D2,Mountain East Conference,West Virginia,W
Concordia College – Minnesota,D3,,Minnesota,M
Concordia College – Minnesota,D3,,Minnesota,W
Concordia University Wisconsin,D3,,Wisconsin,M
Concordia University Wisconsin,D3,,Wisconsin,W
Concordia University – Chicago,D3,,Illinois,M
Concordia University – Chicago,D3,,Illinois,W
Concordia University – Nebraska,NAIA,,Nebraska,M
Concordia University – Nebraska,NAIA,,Nebraska,W
Concordia University – Texas,D3,,Texas,M
Concordia University – Texas,D3,,Texas,W
Concordia University–Irvine,D2,Pacific West Conference,California,M
Concordia University–Irvine,D2,Pacific West Conference,California,W
Concordia University–St. Paul,D2,Northern Sun Intercollegiate Conference,Minnesota,W
Connecticut College,D3,,Connecticut,M
Connecticut College,D3,,Connecticut,W
Converse University,D2,Conference Carolinas,South Carolina,M
Converse University,D2,Conference Carolinas,South Carolina,W
Corban University,NAIA,,Oregon,M
Corban University,NAIA,,Oregon,W
Cornell,D1,Ivy League,New York,W
Cornell College,D3,,Iowa,M
Cornell College,D3,,Iowa,W
Cornell University,D1,Ivy League,New York,M
Cornerstone University,NAIA,,Michigan,M
Cornerstone University,NAIA,,Michigan,W
Covenant College,D3,,Georgia,M
Covenant College,D3,,Georgia,W
Creighton,D1,Big East,Nebraska,W
Creighton University,D1,Big East Conference,Nebraska,M
Crown College,D3,,Minnesota,M
Crown College,D3,,Minnesota,W
Culver-Stockton College,NAIA,,Missouri,M
Culver-Stockton College,NAIA,,Missouri,W
Cumberland University,NAIA,,Tennessee,M
Cumberland University,NAIA,,Tennessee,W
Curry College,D3,,Massachusetts,M
Curry College,D3,,Massachusetts,W
D'Youville University,D2,East Coast Conference,New York,M
D'Youville University,D2,East Coast Conference,New York,W
Daemen University,D2,East Coast Conference,New York,M
Daemen University,D2,East Coast Conference,New York,W
Dakota State University,NAIA,,South Dakota,W
Dakota Wesleyan University,NAIA,,South Dakota,M
Dakota Wesleyan University,NAIA,,South Dakota,W
Dallas Baptist University,D2,Lone Star Conference,Texas,M
Dallas Baptist University,D2,Lone Star Conference,Texas,W
Dalton State College,NAIA,,Georgia,M
Dalton State College,NAIA,,Georgia,W
Dartmouth,D1,Ivy League,New Hampshire,W
Dartmouth College,D1,Ivy League,New Hampshire,M
Davenport University,D2,Great Lakes Intercollegiate Athletic Conference,Michigan,M
Davenport University,D2,Great Lakes Intercollegiate Athletic Conference,Michigan,W
Davidson,D1,Atlantic 10,North Carolina,W
Davidson College,D1,Atlantic 10 Conference,North Carolina,M
Davis & Elkins College,D2,Mountain East Conference,West Virginia,M
Davis & Elkins College,D2,Mountain East Conference,West Virginia,W
Dayton,D1,Atlantic 10,Ohio,W
DePaul,D1,Big East,Illinois,W
DePaul University,D1,Big East Conference,Illinois,M
DePauw University,D3,,Indiana,M
DePauw University,D3,,Indiana,W
DeSales University,D3,,Pennsylvania,M
DeSales University,D3,,Pennsylvania,W
Dean College,D3,,Massachusetts,M
Dean College,D3,,Massachusetts,W
Defiance College,NAIA,,Ohio,M
Defiance College,NAIA,,Ohio,W
Delaware,D1,CUSA,Delaware,W
Delaware State,D1,NEC,Delaware,W
Delaware Valley University,D3,,Pennsylvania,M
Delaware Valley University,D3,,Pennsylvania,W
Delta State University,D2,Gulf South Conference,Mississippi,M
Delta State University,D2,Gulf South Conference,Mississippi,W
Denison University,D3,,Ohio,M
Denison University,D3,,Ohio,W
Denver,D1,West Coast,Colorado,W
Detroit Mercy,D1,Horizon,Michigan,W
Dickinson College,D3,,Pennsylvania,M
Dickinson College,D3,,Pennsylvania,W
Doane University,NAIA,,Nebraska,M
Doane University,NAIA,,Nebraska,W
Dominican University New York,D2,Central Atlantic Collegiate Conference,New York,M
Dominican University New York,D2,Central Atlantic Collegiate Conference,New York,W
Dominican University of California,D2,Pacific West Conference,California,M
Dominican University of California,D2,Pacific West Conference,California,W
Dominican University – Illinois,D3,,Illinois,M
Dominican University – Illinois,D3,,Illinois,W
Dordt University,NAIA,,Iowa,M
Dordt University,NAIA,,Iowa,W
Drake,D1,Missouri Valley,Iowa,W
Drake University,D1,Missouri Valley Conference,Iowa,M
Drew University,D3,,New Jersey,M
Drew University,D3,,New Jersey,W
Drexel,D1,CAA,Pennsylvania,W
Drexel University,D1,Coastal Athletic Association,Pennsylvania,M
Drury University,D2,Great Lakes Valley Conference,Missouri,M
Drury University,D2,Great Lakes Valley Conference,Missouri,W
Duke,D1,ACC,North Carolina,W
Duke University,D1,Atlantic Coast Conference,North Carolina,M
Duquesne,D1,Atlantic 10,Pennsylvania,W
Duquesne University,D1,Atlantic 10 Conference,Pennsylvania,M
Earlham College,D3,,Indiana,M
Earlham College,D3,,Indiana,W
East Carolina,D1,American,North Carolina,W
East Central University,D2,Great American Conference,Oklahoma,W
East Stroudsburg University of Pennsylvania,D2,Pennsylvania State Athletic Conference,Pennsylvania,M
East Stroudsburg University of Pennsylvania,D2,Pennsylvania State Athletic Conference,Pennsylvania,W
East Tennessee State,D1,Southern,Tennessee,W
East Tennessee State University (ETSU),D1,Southern Conference,Tennessee,M
East Texas A&M,D1,Southland,Texas,W
East Texas Baptist University,D3,,Texas,M
East Texas Baptist University,D3,,Texas,W
Eastern Connecticut State University,D3,,Connecticut,M
Eastern Connecticut State University,D3,,Connecticut,W
Eastern Illinois,D1,Ohio Valley,Illinois,W
Eastern Illinois University,D1,Ohio Valley Conference,Illinois,M
Eastern Kentucky,D1,UAC,Kentucky,W
Eastern Mennonite University,D3,,Virginia,M
Eastern Mennonite University,D3,,Virginia,W
Eastern Michigan,D1,MAC,Michigan,W
Eastern Nazarene College,D3,,Massachusetts,M
Eastern Nazarene College,D3,,Massachusetts,W
Eastern New Mexico University,D2,Lone Star Conference,New Mexico,W
Eastern Oregon University,NAIA,,Oregon,M
Eastern Oregon University,NAIA,,Oregon,W
Eastern University,D3,,Pennsylvania,M
Eastern University,D3,,Pennsylvania,W
Eastern Washington,D1,Big Sky,Washington,W
Eckerd College,D2,Sunshine State Conference,Florida,M
Eckerd College,D2,Sunshine State Conference,Florida,W
Edgewood College,D3,,Wisconsin,M
Edgewood College,D3,,Wisconsin,W
Edward Waters University,D2,Independent,Florida,W
Elizabethtown College,D3,,Pennsylvania,M
Elizabethtown College,D3,,Pennsylvania,W
Elmhurst University,D3,,Illinois,M
Elmhurst University,D3,,Illinois,W
Elmira College,D3,,New York,M
Elmira College,D3,,New York,W
Elms College,D3,,Massachusetts,M
Elms College,D3,,Massachusetts,W
Elon,D1,CAA,North Carolina,W
Elon University,D1,Coastal Athletic Association,North Carolina,M
Embry-Riddle Aeronautical University (Arizona Campus),NAIA,,Arizona,M
Embry-Riddle Aeronautical University (Arizona Campus),NAIA,,Arizona,W
Embry–Riddle Aeronautical University,D2,Sunshine State Conference,Florida,M
Embry–Riddle Aeronautical University,D2,Sunshine State Conference,Florida,W
Emerson College,D3,,Massachusetts,M
Emerson College,D3,,Massachusetts,W
Emmanuel College – Massachusetts,D3,,Massachusetts,M
Emmanuel College – Massachusetts,D3,,Massachusetts,W
Emmanuel University,D2,Conference Carolinas,Georgia,M
Emmanuel University,D2,Conference Carolinas,Georgia,W
Emory University,D3,,Georgia,M
Emory University,D3,,Georgia,W
Emory and Henry University,D2,South Atlantic Conference,Virginia,M
Emory and Henry University,D2,South Atlantic Conference,Virginia,W
Emporia State University,D2,Mid-America Intercollegiate Athletics Association,Kansas,W
Endicott College,D3,,Massachusetts,M
Endicott College,D3,,Massachusetts,W
Erskine College,D2,Conference Carolinas,South Carolina,M
Erskine College,D2,Conference Carolinas,South Carolina,W
Eureka College,D3,,Illinois,M
Eureka College,D3,,Illinois,W
Evangel University,NAIA,,Missouri,M
Evangel University,NAIA,,Missouri,W
Evansville,D1,Missouri Valley,Indiana,W
Evergreen State College,NAIA,,Washington,M
Evergreen State College,NAIA,,Washington,W
FIU,D1,CUSA,Florida,W
Fairfield,D1,Metro,Connecticut,W
Fairfield University,D1,Metro Conference (Coastal Athletic Association in 2027),Connecticut,M
Fairleigh Dickinson,D1,NEC,New Jersey,W
Fairleigh Dickinson University,D1,NEC,New Jersey,M
Fairleigh Dickinson University – College at Florham,D3,,New Jersey,M
Fairleigh Dickinson University – College at Florham,D3,,New Jersey,W
Fairmont State University,D2,Mountain East Conference,West Virginia,W
Faulkner University,NAIA,,Alabama,M
Faulkner University,NAIA,,Alabama,W
Felician University,D2,Central Atlantic Collegiate Conference,New Jersey,M
Felician University,D2,Central Atlantic Collegiate Conference,New Jersey,W
Ferris State University,D2,Great Lakes Intercollegiate Athletic Conference,Michigan,W
Ferrum College,D2,Conference Carolinas,Virginia,M
Ferrum College,D3,,Virginia,M
Ferrum College,D2,Conference Carolinas,Virginia,W
Ferrum College,D3,,Virginia,W
Fisher College,NAIA,,Massachusetts,M
Fisher College,NAIA,,Massachusetts,W
Fisk University,NAIA,,Tennessee,M
Fitchburg State University,D3,,Massachusetts,M
Fitchburg State University,D3,,Massachusetts,W
Flagler College,D2,Peach Belt Conference,Florida,M
Flagler College,D2,Peach Belt Conference,Florida,W
Florida,D1,SEC,Florida,W
Florida Atlantic,D1,American,Florida,W
Florida Atlantic University (FAU),D1,American Conference,Florida,M
Florida College,NAIA,,Florida,M
Florida College,NAIA,,Florida,W
Florida Gulf Coast,D1,ASUN,Florida,W
Florida Gulf Coast University (FGCU),D1,Atlantic Sun Conference,Florida,M
Florida Institute of Technology,D2,Sunshine State Conference,Florida,M
Florida Institute of Technology,D2,Sunshine State Conference,Florida,W
Florida International University (FIU),D1,American Conference,Florida,M
Florida Memorial University,NAIA,,Florida,M
Florida Memorial University,NAIA,,Florida,W
Florida National University,NAIA,,Florida,M
Florida Southern College,D2,Sunshine State Conference,Florida,M
Florida Southern College,D2,Sunshine State Conference,Florida,W
Florida State,D1,ACC,Florida,W
Fordham,D1,Atlantic 10,New York,W
Fordham University,D1,Atlantic 10 Conference,New York,M
Fort Hays State University,D2,Great American Conference,Kansas,M
